"Plot Title: Tank 2"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444034, SEN S/N: 20444034, LBL: Celcius)","Coupler Detached (LGR S/N: 20444034)","Coupler Attached (LGR S/N: 20444034)","Host Connected (LGR S/N: 20444034)","End Of File (LGR S/N: 20444034)"
1,05/13/19 10:15:00 AM,27.431,Logged,,,
2,05/13/19 10:30:00 AM,27.481,,,,
3,05/13/19 10:45:00 AM,27.505,,,,
4,05/13/19 11:00:00 AM,27.579,,,,
5,05/13/19 11:15:00 AM,27.653,,,,
6,05/13/19 11:30:00 AM,27.751,,,,
7,05/13/19 11:45:00 AM,27.801,,,,
8,05/13/19 12:00:00 PM,27.825,,,,
9,05/13/19 12:15:00 PM,28.270,,,,
10,05/13/19 12:30:00 PM,28.345,,,,
11,05/13/19 12:45:00 PM,27.924,,,,
12,05/13/19 01:00:00 PM,27.825,,,,
13,05/13/19 01:15:00 PM,27.850,,,,
14,05/13/19 01:30:00 PM,27.875,,,,
15,05/13/19 01:45:00 PM,27.949,,,,
16,05/13/19 02:00:00 PM,27.998,,,,
17,05/13/19 02:15:00 PM,28.048,,,,
18,05/13/19 02:30:00 PM,28.072,,,,
19,05/13/19 02:45:00 PM,28.072,,,,
20,05/13/19 03:00:00 PM,28.072,,,,
21,05/13/19 03:15:00 PM,28.097,,,,
22,05/13/19 03:30:00 PM,28.147,,,,
23,05/13/19 03:45:00 PM,28.196,,,,
24,05/13/19 04:00:00 PM,28.221,,,,
25,05/13/19 04:15:00 PM,28.196,,,,
26,05/13/19 04:30:00 PM,28.196,,,,
27,05/13/19 04:45:00 PM,28.171,,,,
28,05/13/19 05:00:00 PM,28.221,,,,
29,05/13/19 05:15:00 PM,28.196,,,,
30,05/13/19 05:30:00 PM,28.097,,,,
31,05/13/19 05:45:00 PM,28.048,,,,
32,05/13/19 06:00:00 PM,28.345,,,,
33,05/13/19 06:15:00 PM,28.816,,,,
34,05/13/19 06:30:00 PM,28.916,,,,
35,05/13/19 06:45:00 PM,28.916,,,,
36,05/13/19 07:00:00 PM,28.916,,,,
37,05/13/19 07:15:00 PM,28.891,,,,
38,05/13/19 07:30:00 PM,28.866,,,,
39,05/13/19 07:45:00 PM,28.916,,,,
40,05/13/19 08:00:00 PM,28.916,,,,
41,05/13/19 08:15:00 PM,28.816,,,,
42,05/13/19 08:30:00 PM,28.791,,,,
43,05/13/19 08:45:00 PM,28.791,,,,
44,05/13/19 09:00:00 PM,28.791,,,,
45,05/13/19 09:15:00 PM,28.766,,,,
46,05/13/19 09:30:00 PM,28.766,,,,
47,05/13/19 09:45:00 PM,28.766,,,,
48,05/13/19 10:00:00 PM,28.742,,,,
49,05/13/19 10:15:00 PM,28.717,,,,
50,05/13/19 10:30:00 PM,28.692,,,,
51,05/13/19 10:45:00 PM,28.692,,,,
52,05/13/19 11:00:00 PM,28.692,,,,
53,05/13/19 11:15:00 PM,28.667,,,,
54,05/13/19 11:30:00 PM,28.642,,,,
55,05/13/19 11:45:00 PM,28.667,,,,
56,05/14/19 12:00:00 AM,28.692,,,,
57,05/14/19 12:15:00 AM,28.667,,,,
58,05/14/19 12:30:00 AM,28.667,,,,
59,05/14/19 12:45:00 AM,28.667,,,,
60,05/14/19 01:00:00 AM,28.617,,,,
61,05/14/19 01:15:00 AM,28.593,,,,
62,05/14/19 01:30:00 AM,28.593,,,,
63,05/14/19 01:45:00 AM,28.617,,,,
64,05/14/19 02:00:00 AM,28.692,,,,
65,05/14/19 02:15:00 AM,28.692,,,,
66,05/14/19 02:30:00 AM,28.692,,,,
67,05/14/19 02:45:00 AM,28.667,,,,
68,05/14/19 03:00:00 AM,28.667,,,,
69,05/14/19 03:15:00 AM,28.667,,,,
70,05/14/19 03:30:00 AM,28.692,,,,
71,05/14/19 03:45:00 AM,28.667,,,,
72,05/14/19 04:00:00 AM,28.642,,,,
73,05/14/19 04:15:00 AM,28.667,,,,
74,05/14/19 04:30:00 AM,28.642,,,,
75,05/14/19 04:45:00 AM,28.667,,,,
76,05/14/19 05:00:00 AM,28.642,,,,
77,05/14/19 05:15:00 AM,28.667,,,,
78,05/14/19 05:30:00 AM,28.667,,,,
79,05/14/19 05:45:00 AM,28.642,,,,
80,05/14/19 06:00:00 AM,28.593,,,,
81,05/14/19 06:15:00 AM,28.468,,,,
82,05/14/19 06:30:00 AM,28.419,,,,
83,05/14/19 06:45:00 AM,28.468,,,,
84,05/14/19 07:00:00 AM,28.419,,,,
85,05/14/19 07:15:00 AM,28.394,,,,
86,05/14/19 07:30:00 AM,28.419,,,,
87,05/14/19 07:45:00 AM,28.394,,,,
88,05/14/19 08:00:00 AM,28.419,,,,
89,05/14/19 08:15:00 AM,28.468,,,,
90,05/14/19 08:30:00 AM,28.518,,,,
91,05/14/19 08:45:00 AM,28.072,,,,
92,05/14/19 09:00:00 AM,28.097,,,,
93,05/14/19 09:15:00 AM,28.147,,,,
94,05/14/19 09:30:00 AM,27.924,,,,
95,05/14/19 09:45:00 AM,28.742,,,,
96,05/14/19 10:00:00 AM,29.090,,,,
97,05/14/19 10:15:00 AM,29.165,,,,
98,05/14/19 10:30:00 AM,29.215,,,,
99,05/14/19 10:45:00 AM,29.265,,,,
100,05/14/19 11:00:00 AM,29.290,,,,
101,05/14/19 11:15:00 AM,29.265,,,,
102,05/14/19 11:30:00 AM,29.190,,,,
103,05/14/19 11:45:00 AM,29.215,,,,
104,05/14/19 12:00:00 PM,29.240,,,,
105,05/14/19 12:15:00 PM,29.290,,,,
106,05/14/19 12:30:00 PM,29.290,,,,
107,05/14/19 12:45:00 PM,28.468,,,,
108,05/14/19 01:00:00 PM,29.165,,,,
109,05/14/19 01:15:00 PM,28.642,,,,
110,05/14/19 01:30:00 PM,28.048,,,,
111,05/14/19 01:34:19 PM,,,Logged,,
112,05/14/19 01:34:36 PM,,,,Logged,Logged
