"","Date.Time","Tank1","Tank2","Tank3","Tank4","Tank5","Tank6"
"217",2019-05-09 00:00:00,NA,NA,25.914,25.768,25.914,NA
"218",2019-05-09 00:15:00,NA,NA,25.939,25.817,25.963,NA
"219",2019-05-09 00:30:00,NA,NA,25.939,25.817,25.963,NA
"220",2019-05-09 00:45:00,NA,NA,25.914,25.768,25.914,NA
"221",2019-05-09 01:00:00,NA,NA,25.866,25.72,25.866,NA
"222",2019-05-09 01:15:00,NA,NA,25.817,25.695,25.841,NA
"223",2019-05-09 01:30:00,NA,NA,25.841,25.695,25.841,NA
"224",2019-05-09 01:45:00,NA,NA,25.866,25.744,25.89,NA
"225",2019-05-09 02:00:00,NA,NA,25.89,25.768,25.914,NA
"226",2019-05-09 02:15:00,NA,NA,25.914,25.793,25.939,NA
"227",2019-05-09 02:30:00,NA,NA,25.939,25.817,25.963,NA
"228",2019-05-09 02:45:00,NA,NA,25.914,25.793,25.939,NA
"229",2019-05-09 03:00:00,NA,NA,25.939,25.793,25.939,NA
"230",2019-05-09 03:15:00,NA,NA,25.939,25.817,25.963,NA
"231",2019-05-09 03:30:00,NA,NA,25.939,25.793,25.963,NA
"232",2019-05-09 03:45:00,NA,NA,25.939,25.793,25.939,NA
"233",2019-05-09 04:00:00,NA,NA,25.914,25.793,25.939,NA
"234",2019-05-09 04:15:00,NA,NA,25.914,25.768,25.914,NA
"235",2019-05-09 04:30:00,NA,NA,25.89,25.744,25.89,NA
"236",2019-05-09 04:45:00,NA,NA,25.866,25.744,25.89,NA
"237",2019-05-09 05:00:00,NA,NA,25.866,25.744,25.89,NA
"238",2019-05-09 05:15:00,NA,NA,25.866,25.744,25.89,NA
"239",2019-05-09 05:30:00,NA,NA,25.841,25.695,25.866,NA
"240",2019-05-09 05:45:00,NA,NA,25.841,25.695,25.841,NA
"241",2019-05-09 06:00:00,NA,NA,25.793,25.671,25.817,NA
"242",2019-05-09 06:15:00,NA,NA,25.817,25.695,25.841,NA
"243",2019-05-09 06:30:00,NA,NA,25.817,25.695,25.841,NA
"244",2019-05-09 06:45:00,NA,NA,25.817,25.695,25.841,NA
"245",2019-05-09 07:00:00,NA,NA,25.817,25.671,25.817,NA
"246",2019-05-09 07:15:00,NA,NA,25.817,25.671,25.841,NA
"247",2019-05-09 07:30:00,NA,NA,25.793,25.671,25.817,NA
"248",2019-05-09 07:45:00,NA,NA,25.793,25.695,25.817,NA
"249",2019-05-09 08:00:00,NA,NA,25.841,25.744,25.866,NA
"250",2019-05-09 08:15:00,NA,NA,25.89,25.866,25.89,NA
"251",2019-05-09 08:30:00,NA,NA,25.914,25.89,25.939,NA
"252",2019-05-09 08:45:00,NA,NA,25.963,25.939,25.963,NA
"253",2019-05-09 09:00:00,NA,NA,25.987,25.963,26.012,NA
"254",2019-05-09 09:15:00,NA,NA,26.012,26.012,26.036,NA
"255",2019-05-09 09:30:00,NA,NA,26.012,26.036,26.061,NA
"256",2019-05-09 09:45:00,NA,NA,26.061,26.061,26.085,NA
"257",2019-05-09 10:00:00,NA,NA,26.085,26.085,26.109,NA
"258",2019-05-09 10:15:00,NA,NA,26.109,26.109,26.134,NA
"259",2019-05-09 10:30:00,NA,NA,26.109,26.109,26.158,NA
"260",2019-05-09 10:45:00,NA,NA,26.109,26.109,26.134,NA
"261",2019-05-09 11:00:00,NA,NA,26.109,26.109,26.134,NA
"262",2019-05-09 11:15:00,NA,NA,26.158,26.134,26.158,NA
"263",2019-05-09 11:30:00,NA,NA,26.182,26.158,26.207,NA
"264",2019-05-09 11:45:00,NA,NA,26.182,26.182,26.231,NA
"265",2019-05-09 12:00:00,NA,NA,26.182,26.182,26.207,NA
"266",2019-05-09 12:15:00,NA,NA,26.182,26.182,26.207,NA
"267",2019-05-09 12:30:00,NA,NA,26.207,26.182,26.231,NA
