"","Date.Time","Tank1","Tank2","Tank3","Tank4","Tank5","Tank6"
"314",2019-05-13 17:00:00,28.097,28.221,28.147,28.122,28.171,28.147
"315",2019-05-13 17:15:00,28.072,28.196,28.147,28.097,28.171,28.122
"316",2019-05-13 17:30:00,28.048,28.097,28.122,28.072,28.147,28.097
"317",2019-05-13 17:45:00,27.998,28.048,28.072,28.023,28.097,28.097
"318",2019-05-13 18:00:00,28.023,28.345,28.419,28.048,28.245,28.072
"319",2019-05-13 18:15:00,27.998,28.816,28.816,28.023,28.221,28.048
"320",2019-05-13 18:30:00,27.949,28.916,28.791,27.974,28.171,27.974
"321",2019-05-13 18:45:00,27.924,28.916,28.766,27.949,28.147,27.974
"322",2019-05-13 19:00:00,27.899,28.916,28.717,27.924,28.072,27.924
"323",2019-05-13 19:15:00,27.85,28.891,28.717,27.899,28.072,27.899
"324",2019-05-13 19:30:00,27.875,28.866,28.692,27.899,28.097,27.899
"325",2019-05-13 19:45:00,27.924,28.916,28.717,27.949,28.122,27.949
"326",2019-05-13 20:00:00,27.899,28.916,28.742,27.924,28.072,27.949
"327",2019-05-13 20:15:00,27.85,28.816,28.667,27.875,28.048,27.875
"328",2019-05-13 20:30:00,27.825,28.791,28.642,27.825,28.023,27.85
"329",2019-05-13 20:45:00,27.825,28.791,28.642,27.825,27.974,27.85
"330",2019-05-13 21:00:00,27.801,28.791,28.617,27.825,27.974,27.85
"331",2019-05-13 21:15:00,27.801,28.766,28.642,27.825,27.998,27.825
"332",2019-05-13 21:30:00,27.776,28.766,28.593,27.801,27.998,27.801
"333",2019-05-13 21:45:00,27.751,28.766,28.568,27.776,27.924,27.801
"334",2019-05-13 22:00:00,27.751,28.742,28.568,27.751,27.899,27.776
"335",2019-05-13 22:15:00,27.727,28.717,28.543,27.727,27.924,27.751
"336",2019-05-13 22:30:00,27.702,28.692,28.543,27.702,27.924,27.727
"337",2019-05-13 22:45:00,27.677,28.692,28.543,27.677,27.875,27.702
"338",2019-05-13 23:00:00,27.677,28.692,28.493,27.677,27.825,27.702
"339",2019-05-13 23:15:00,27.653,28.667,28.468,27.677,27.825,27.702
"340",2019-05-13 23:30:00,27.653,28.642,28.493,27.653,27.85,27.677
"341",2019-05-13 23:45:00,27.604,28.667,28.444,27.604,27.825,27.628
"342",2019-05-14 00:00:00,27.53,28.692,28.345,27.53,27.751,27.554
"343",2019-05-14 00:15:00,27.481,28.667,28.345,27.481,27.702,27.505
