"Bleaching.Score","PLUG.ID","Timepoint","Treatment","Species","Group","SpGroup"
"61",1.38493837736853,"2183","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"62",-1.77101562437365,"2023","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"63",-7.32317470241427,"1490","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"64",5.70305533668205,"2995","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"65",8.22248765785008,"1222","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"66",-8.25906111213028,"1600","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"67",6.47005018245317,"1481","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"68",-4.41829479394785,"1215","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"69",2.15673506962468,"1208","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"70",-3.48573026582965,"1586","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"71",-2.98223357026142,"1326","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"72",-8.16654055688394,"1216","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"73",-2.47135171819606,"1997","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"74",-7.18807573320896,"1317","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"75",-5.1560090369289,"2391","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"76",-5.15463585110532,"1428","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"77",-4.77509938217313,"1196","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"78",8.04644765405261,"1737","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"79",0.389436803240884,"1454","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"80",4.58739177010422,"2397","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"81",-5.28453579698453,"2192","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"82",7.82588084638377,"1425","Time0","High","P. acuta","Time0 High P. acuta","High P. acuta"
"83",1.3204948771038,"1323","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"84",7.78170989795043,"1063","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"85",-5.25024325948058,"1327","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"86",7.12851453811567,"1338","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"87",7.60373858918499,"2985","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"88",7.80244594824676,"1328","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"89",5.94753579604681,"2306","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"90",4.89262426633465,"1447","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"91",7.85439020375365,"1321","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"92",6.8053354468099,"1587","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"93",3.74644649189588,"1645","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"94",8.74509810683291,"2005","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"95",0.505024623178238,"1730","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"96",-6.62125960028822,"1277","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"97",-6.85112437082413,"1442","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"98",4.41078333934337,"1286","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"99",4.10197397306761,"1341","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"100",-7.01440582187168,"2998","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
"101",-4.49683046770249,"2204","Time0","High","M. capitata","Time0 High M. capitata","High M. capitata"
